PDB ID,Chain ID,Macromolecule Name,Source,PFAM Acc [Res Range],Pfam ID,Pfam Description
"1BZF","A","DIHYDROFOLATE REDUCTASE","Lactobacillus casei","PF00186 [3-160]","DHFR_1","Dihydrofolate reductase"
"1BZM","A","CARBONIC ANHYDRASE I","Homo sapiens","PF00194 [4-259]","Carb_anhydrase","Eukaryotic-type carbonic anhydrase"
"1C3S","A","HDLP (HISTONE DEACETYLASE-LIKE PROTEIN)","Aquifex aeolicus","PF00850 [26-310]","Hist_deacetyl","Histone deacetylase domain"
"1C4D","A","GRAMICIDIN A","Brevibacillus brevis","","",""
"1C4D","B","GRAMICIDIN A","Brevibacillus brevis","","",""
"1C4D","C","GRAMICIDIN A","Brevibacillus brevis","","",""
"1C4D","D","GRAMICIDIN A","Brevibacillus brevis","","",""
"1C6Y","A","PROTEIN (PROTEASE)","Human immunodeficiency virus 1","PF00077 [6-97]","RVP","Retroviral aspartyl protease"
"1C6Y","B","PROTEIN (PROTEASE)","Human immunodeficiency virus 1","","",""
"1C6Z","A","PROTEIN (PROTEASE)","Human immunodeficiency virus 1","PF00077 [6-97]","RVP","Retroviral aspartyl protease"
"1C6Z","B","PROTEIN (PROTEASE)","Human immunodeficiency virus 1","","",""
"1C8L","A","PROTEIN (GLYCOGEN PHOSPHORYLASE)","Oryctolagus cuniculus","PF00343 [113-827]","Phosphorylase","Carbohydrate phosphorylase"
"1C9H","A","FKBP12.6","Homo sapiens","PF00254 [13-104]","FKBP_C","FKBP-type peptidyl-prolyl cis-trans isomerase"
"1C9S","A","TRP RNA-BINDING ATTENUATION PROTEIN","Geobacillus stearothermophilus","PF02081 [7-73]","TrpBP","Tryptophan RNA-binding attenuator protein"
"1C9S","B","TRP RNA-BINDING ATTENUATION PROTEIN","Geobacillus stearothermophilus","","",""
"1C9S","C","TRP RNA-BINDING ATTENUATION PROTEIN","Geobacillus stearothermophilus","","",""
"1C9S","D","TRP RNA-BINDING ATTENUATION PROTEIN","Geobacillus stearothermophilus","","",""
"1C9S","E","TRP RNA-BINDING ATTENUATION PROTEIN","Geobacillus stearothermophilus","","",""
"1C9S","F","TRP RNA-BINDING ATTENUATION PROTEIN","Geobacillus stearothermophilus","","",""
"1C9S","G","TRP RNA-BINDING ATTENUATION PROTEIN","Geobacillus stearothermophilus","","",""
"1C9S","H","TRP RNA-BINDING ATTENUATION PROTEIN","Geobacillus stearothermophilus","","",""
"1C9S","I","TRP RNA-BINDING ATTENUATION PROTEIN","Geobacillus stearothermophilus","","",""
"1C9S","J","TRP RNA-BINDING ATTENUATION PROTEIN","Geobacillus stearothermophilus","","",""
"1C9S","K","TRP RNA-BINDING ATTENUATION PROTEIN","Geobacillus stearothermophilus","","",""
"1C9S","L","TRP RNA-BINDING ATTENUATION PROTEIN","Geobacillus stearothermophilus","","",""
"1C9S","M","TRP RNA-BINDING ATTENUATION PROTEIN","Geobacillus stearothermophilus","","",""
"1C9S","N","TRP RNA-BINDING ATTENUATION PROTEIN","Geobacillus stearothermophilus","","",""
"1C9S","O","TRP RNA-BINDING ATTENUATION PROTEIN","Geobacillus stearothermophilus","","",""
"1C9S","P","TRP RNA-BINDING ATTENUATION PROTEIN","Geobacillus stearothermophilus","","",""
"1C9S","Q","TRP RNA-BINDING ATTENUATION PROTEIN","Geobacillus stearothermophilus","","",""
"1C9S","R","TRP RNA-BINDING ATTENUATION PROTEIN","Geobacillus stearothermophilus","","",""
"1C9S","S","TRP RNA-BINDING ATTENUATION PROTEIN","Geobacillus stearothermophilus","","",""
"1C9S","T","TRP RNA-BINDING ATTENUATION PROTEIN","Geobacillus stearothermophilus","","",""
"1C9S","U","TRP RNA-BINDING ATTENUATION PROTEIN","Geobacillus stearothermophilus","","",""
"1C9S","V","TRP RNA-BINDING ATTENUATION PROTEIN","Geobacillus stearothermophilus","","",""
"1C9S","W","SINGLE STRANDED RNA (55-MER)","","","",""
"1CBR","A","CELLULAR RETINOIC ACID BINDING PROTEIN TYPE I","Mus musculus","PF00061 [4-136]","Lipocalin","Lipocalin / cytosolic fatty-acid binding protein family"
"1CBR","B","CELLULAR RETINOIC ACID BINDING PROTEIN TYPE I","Mus musculus","","",""
"1CBS","A","CELLULAR RETINOIC ACID BINDING PROTEIN TYPE II","Homo sapiens","PF00061 [4-137]","Lipocalin","Lipocalin / cytosolic fatty-acid binding protein family"
"1CD2","A","DIHYDROFOLATE REDUCTASE","Pneumocystis carinii","PF00186 [7-177]","DHFR_1","Dihydrofolate reductase"
"1CEA","A","PLASMINOGEN","Homo sapiens","PF00051 [1-79]","Kringle","Kringle domain"
"1CEA","B","PLASMINOGEN","Homo sapiens","","",""
"1CEB","A","PLASMINOGEN","Homo sapiens","PF00051 [1-79]","Kringle","Kringle domain"
"1CEB","B","PLASMINOGEN","Homo sapiens","","",""
"1CET","A","PROTEIN (L-LACTATE DEHYDROGENASE)","Plasmodium falciparum","PF02866 [166-323], PF00056 [22-162]","Ldh_1_C, Ldh_1_N","lactate/malate dehydrogenase, alpha/beta C-terminal domain, lactate/malate dehydrogenase, NAD binding domain"
"1CIL","A","CARBONIC ANHYDRASE II","Homo sapiens","PF00194 [4-259]","Carb_anhydrase","Eukaryotic-type carbonic anhydrase"
"1CLA","A","TYPE III CHLORAMPHENICOL ACETYLTRANSFERASE","Escherichia coli","PF00302 [8-211]","CAT","Chloramphenicol acetyltransferase"
"1CMA","A","PROTEIN (MET REPRESSOR)","Escherichia coli","PF01340 [2-98]","MetJ","Met Apo-repressor, MetJ"
"1CMA","B","PROTEIN (MET REPRESSOR)","Escherichia coli","","",""
"1CMA","C","DNA (5'-D(*TP*TP*AP*GP*AP*CP*GP*TP*CP*T)-3')","","","",""
"1CMA","D","DNA (5'-D(*AP*GP*AP*CP*GP*TP*CP*TP*A)-3')","","","",""
"1CMC","A","MET REPRESSOR","Escherichia coli","PF01340 [2-98]","MetJ","Met Apo-repressor, MetJ"
"1CMC","B","MET REPRESSOR","Escherichia coli","","",""
"1CQE","A","PROTEIN (PROSTAGLANDIN H2 SYNTHASE-1)","Ovis aries","PF00008 [37-68], PF03098 [224-522]","EGF, An_peroxidase","EGF-like domain, Animal haem peroxidase"
"1CQE","B","PROTEIN (PROSTAGLANDIN H2 SYNTHASE-1)","Ovis aries","","",""
"1CQP","A","ANTIGEN CD11A (P180)","Homo sapiens","PF00092 [131-300]","VWA","von Willebrand factor type A domain"
"1CQP","B","ANTIGEN CD11A (P180)","Homo sapiens","","",""
"1CRB","A","CELLULAR RETINOL BINDING PROTEIN","Rattus rattus","PF00061 [5-131]","Lipocalin","Lipocalin / cytosolic fatty-acid binding protein family"
"1CTR","A","CALMODULIN","Homo sapiens","PF13499 [82-145], PF13499 [12-72]","EF-hand_7, EF-hand_7","EF-hand domain pair, EF-hand domain pair"
"1D0V","A","NICOTINATE MONONUCLEOTIDE:5,6-DIMETHYLBENZIMIDAZOLE PHOSPHORIBOSYLTRANSFERASE","Salmonella enterica","PF02277 [11-344]","DBI_PRT","Phosphoribosyltransferase"
"1D1G","A","DIHYDROFOLATE REDUCTASE","Thermotoga maritima","PF00186 [4-122]","DHFR_1","Dihydrofolate reductase"
"1D1G","B","DIHYDROFOLATE REDUCTASE","Thermotoga maritima","","",""
"1D1V","A","BOVINE ENDOTHELIAL NITRIC OXIDE SYNTHASE HEME","Bos taurus","PF02898 [122-482]","NO_synthase","Nitric oxide synthase, oxygenase domain"
"1D1V","B","BOVINE ENDOTHELIAL NITRIC OXIDE SYNTHASE HEME","Bos taurus","","",""
"1D1W","A","NITRIC OXIDE SYNTHASE","Bos taurus","PF02898 [122-482]","NO_synthase","Nitric oxide synthase, oxygenase domain"
"1D1W","B","NITRIC OXIDE SYNTHASE","Bos taurus","","",""
"1D1X","A","BOVINE ENDOTHELIAL NITRIC OXIDE SYNTHASE HEME DOMAIN","Bos taurus","PF02898 [122-482]","NO_synthase","Nitric oxide synthase, oxygenase domain"
"1D1X","B","BOVINE ENDOTHELIAL NITRIC OXIDE SYNTHASE HEME DOMAIN","Bos taurus","","",""
"1D4F","A","S-ADENOSYLHOMOCYSTEINE HYDROLASE","Rattus norvegicus","PF05221 [6-140], PF05221 [141-430]","AdoHcyase, AdoHcyase","S-adenosyl-L-homocysteine hydrolase, S-adenosyl-L-homocysteine hydrolase"
"1D4F","B","S-ADENOSYLHOMOCYSTEINE HYDROLASE","Rattus norvegicus","","",""
"1D4F","C","S-ADENOSYLHOMOCYSTEINE HYDROLASE","Rattus norvegicus","","",""
"1D4F","D","S-ADENOSYLHOMOCYSTEINE HYDROLASE","Rattus norvegicus","","",""
"1D4S","A","PROTEIN (HIV-1 PROTEASE)","Human immunodeficiency virus 1","PF00077 [6-97]","RVP","Retroviral aspartyl protease"
"1D4S","B","PROTEIN (HIV-1 PROTEASE)","Human immunodeficiency virus 1","","",""
"1D4Y","A","PROTEIN (HIV-1 PROTEASE)","Human immunodeficiency virus 1","PF00077 [6-97]","RVP","Retroviral aspartyl protease"
"1D4Y","B","PROTEIN (HIV-1 PROTEASE)","Human immunodeficiency virus 1","","",""
"1D8C","A","MALATE SYNTHASE G","Escherichia coli","PF01274 [18-697]","Malate_synthase","Malate synthase"
"1DB1","A","VITAMIN D NUCLEAR RECEPTOR","Homo sapiens","PF00104 [226-401]","Hormone_recep","Ligand-binding domain of nuclear hormone receptor"
"1DBB","H","IGG1-KAPPA DB3 FAB (HEAVY CHAIN)","Mus musculus","PF07686 [10-111], PF07654 [121-214]","V-set, C1-set","Immunoglobulin V-set domain, Immunoglobulin C1-set domain"
"1DBB","L","IGG1-KAPPA DB3 FAB (LIGHT CHAIN)","Mus musculus","PF07686 [8-106], PF07654 [115-200]","V-set, C1-set","Immunoglobulin V-set domain, Immunoglobulin C1-set domain"
"1DDR","A","DIHYDROFOLATE REDUCTASE","Escherichia coli","PF00186 [1-158]","DHFR_1","Dihydrofolate reductase"
"1DDR","B","DIHYDROFOLATE REDUCTASE","Escherichia coli","","",""
"1DDS","A","DIHYDROFOLATE REDUCTASE","Escherichia coli","PF00186 [1-158]","DHFR_1","Dihydrofolate reductase"
"1DDS","B","DIHYDROFOLATE REDUCTASE","Escherichia coli","","",""
"1DED","A","CYCLODEXTRIN GLUCANOTRANSFERASE","Bacillus sp. 1011","PF02806 [413-492], PF00686 [586-680], PF00128 [52-372], PF01833 [499-569]","Alpha-amylase_C, CBM_20, Alpha-amylase, TIG","Alpha amylase, C-terminal all-beta domain, Starch binding domain, Alpha amylase, catalytic domain, IPT/TIG domain"
"1DED","B","CYCLODEXTRIN GLUCANOTRANSFERASE","Bacillus sp. 1011","","",""
"1DF1","A","NITRIC OXIDE SYNTHASE","Mus musculus","PF02898 [131-491]","NO_synthase","Nitric oxide synthase, oxygenase domain"
"1DF1","B","NITRIC OXIDE SYNTHASE","Mus musculus","","",""
"1DF7","A","DIHYDROFOLATE REDUCTASE","Mycobacterium tuberculosis","PF00186 [1-156]","DHFR_1","Dihydrofolate reductase"
"1DFO","A","SERINE HYDROXYMETHYLTRANSFERASE","Escherichia coli","PF00464 [8-386]","SHMT","Serine hydroxymethyltransferase"
"1DFO","B","SERINE HYDROXYMETHYLTRANSFERASE","Escherichia coli","","",""
"1DFO","C","SERINE HYDROXYMETHYLTRANSFERASE","Escherichia coli","","",""
"1DFO","D","SERINE HYDROXYMETHYLTRANSFERASE","Escherichia coli","","",""
"1DG5","A","DIHYDROFOLATE REDUCTASE","Mycobacterium tuberculosis","PF00186 [1-156]","DHFR_1","Dihydrofolate reductase"
"1DGM","A","ADENOSINE KINASE","Toxoplasma gondii","PF00294 [61-355]","PfkB","pfkB family carbohydrate kinase"
"1DHF","A","DIHYDROFOLATE REDUCTASE","Homo sapiens","PF00186 [4-184]","DHFR_1","Dihydrofolate reductase"
"1DHF","B","DIHYDROFOLATE REDUCTASE","Homo sapiens","","",""
"1DHI","A","DIHYDROFOLATE REDUCTASE","Escherichia coli","PF00186 [1-158]","DHFR_1","Dihydrofolate reductase"
"1DHI","B","DIHYDROFOLATE REDUCTASE","Escherichia coli","","",""
"1DHJ","A","DIHYDROFOLATE REDUCTASE","Escherichia coli","PF00186 [1-158]","DHFR_1","Dihydrofolate reductase"
"1DHJ","B","DIHYDROFOLATE REDUCTASE","Escherichia coli","","",""
"1DIT","H","ALPHA-THROMBIN","Homo sapiens","PF00089 [16-238]","Trypsin","Trypsin"
"1DIT","L","ALPHA-THROMBIN","Homo sapiens","PF09396 [1D-14K]","Thrombin_light","Thrombin light chain"
"1DIT","P","PEPTIDE INHIBITOR CVS995","","","",""
"1DJR","D","HEAT-LABILE ENTEROTOXIN","Escherichia coli","PF01376 [2-101]","Enterotoxin_b","Heat-labile enterotoxin beta chain"
"1DJR","E","HEAT-LABILE ENTEROTOXIN","Escherichia coli","","",""
"1DJR","F","HEAT-LABILE ENTEROTOXIN","Escherichia coli","","",""
"1DJR","G","HEAT-LABILE ENTEROTOXIN","Escherichia coli","","",""
"1DJR","H","HEAT-LABILE ENTEROTOXIN","Escherichia coli","","",""
"1DLS","A","DIHYDROFOLATE REDUCTASE","Homo sapiens","PF00186 [4-184]","DHFR_1","Dihydrofolate reductase"
"1DM8","A","NITRIC OXIDE SYNTHASE","Bos taurus","PF02898 [122-482]","NO_synthase","Nitric oxide synthase, oxygenase domain"
"1DM8","B","NITRIC OXIDE SYNTHASE","Bos taurus","","",""
"1DMA","A","EXOTOXIN A","Pseudomonas aeruginosa","PF09009 [400-609]","Exotox-A_cataly","Exotoxin A catalytic"
"1DMA","B","EXOTOXIN A","Pseudomonas aeruginosa","","",""
"1DMI","A","NITRIC OXIDE SYNTHASE","Bos taurus","PF02898 [122-482]","NO_synthase","Nitric oxide synthase, oxygenase domain"
"1DMI","B","NITRIC OXIDE SYNTHASE","Bos taurus","","",""
"1DMY","A","MURINE CARBONIC ANHYDRASE V","Mus musculus","PF00194 [25-258]","Carb_anhydrase","Eukaryotic-type carbonic anhydrase"
"1DMY","B","MURINE CARBONIC ANHYDRASE V","Mus musculus","","",""
"1DRA","A","DIHYDROFOLATE REDUCTASE","Escherichia coli","PF00186 [1-158]","DHFR_1","Dihydrofolate reductase"
"1DRA","B","DIHYDROFOLATE REDUCTASE","Escherichia coli","","",""
"1DRB","A","DIHYDROFOLATE REDUCTASE","Escherichia coli","PF00186 [1-158]","DHFR_1","Dihydrofolate reductase"
"1DRB","B","DIHYDROFOLATE REDUCTASE","Escherichia coli","","",""
"1DRE","A","DIHYDROFOLATE REDUCTASE","Escherichia coli","PF00186 [1-158]","DHFR_1","Dihydrofolate reductase"
"1DRF","A","DIHYDROFOLATE REDUCTASE","Homo sapiens","PF00186 [4-184]","DHFR_1","Dihydrofolate reductase"
"1DSC","A","DNA (5'-D(*GP*AP*AP*GP*CP*TP*TP*C)-3')","","","",""
"1DSC","B","DNA (5'-D(*GP*AP*AP*GP*CP*TP*TP*C)-3')","","","",""
"1DSC","C","ACTINOMYCIN D","Streptomyces antibioticus","","",""
"1DSD","A","DNA (5'-D(*GP*AP*TP*GP*CP*TP*TP*C)-3')","","","",""
"1DSD","B","DNA (5'-D(*GP*AP*TP*GP*CP*TP*TP*C)-3')","","","",""
"1DSD","C","ACTINOMYCIN D","Streptomyces antibioticus","","",""
"1DSS","G","D-GLYCERALDEHYDE-3-PHOSPHATE-DEHYDROGENASE","Panulirus versicolor","PF00044 [2-101], PF02800 [154-311]","Gp_dh_N, Gp_dh_C","Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain, Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain"
"1DSS","R","D-GLYCERALDEHYDE-3-PHOSPHATE-DEHYDROGENASE","Panulirus versicolor","","",""
"1DTL","A","CARDIAC TROPONIN C","Gallus gallus","PF13499 [95-158], PF13833 [32-83]","EF-hand_7, EF-hand_8","EF-hand domain pair, EF-hand domain pair"
"1DVX","A","TRANSTHYRETIN","Homo sapiens","PF00576 [14-118]","Transthyretin","HIUase/Transthyretin family"
"1DVX","B","TRANSTHYRETIN","Homo sapiens","","",""
"1DWC","H","ALPHA-THROMBIN (LARGE SUBUNIT)","Homo sapiens","PF00089 [16-238]","Trypsin","Trypsin"
"1DWC","I","HIRUDIN IIIA","Hirudo medicinalis","","",""
"1DWC","L","ALPHA-THROMBIN (SMALL SUBUNIT)","Homo sapiens","PF09396 [1C-14L]","Thrombin_light","Thrombin light chain"
"1DWX","A","NITRIC OXIDE SYNTHASE","Mus musculus","PF02898 [131-491]","NO_synthase","Nitric oxide synthase, oxygenase domain"
"1DWX","B","NITRIC OXIDE SYNTHASE","Mus musculus","","",""
"1DX6","A","ACETYLCHOLINESTERASE","Tetronarce californica","PF00135 [6-524]","COesterase","Carboxylesterase family"
"1DY4","A","EXOGLUCANASE 1","Trichoderma reesei","PF00840 [4-429]","Glyco_hydro_7","Glycosyl hydrolase family 7"
"1DY5","A","RIBONUCLEASE A","Bos taurus","PF00074 [4-121]","RnaseA","Pancreatic ribonuclease"
"1DY5","B","RIBONUCLEASE A","Bos taurus","","",""
"1DYI","A","DIHYDROFOLATE REDUCTASE","Escherichia coli","PF00186 [1-158]","DHFR_1","Dihydrofolate reductase"
"1DYI","B","DIHYDROFOLATE REDUCTASE","Escherichia coli","","",""
"1DYR","A","DIHYDROFOLATE REDUCTASE","Pneumocystis carinii","PF00186 [7-177]","DHFR_1","Dihydrofolate reductase"
"1DZ4","A","CYTOCHROME P450-CAM","Pseudomonas putida","PF00067 [283-376]","p450","Cytochrome P450"
"1DZ4","B","CYTOCHROME P450-CAM","Pseudomonas putida","","",""
"1DZ6","A","CYTOCHROME P450-CAM","Pseudomonas putida","PF00067 [283-376]","p450","Cytochrome P450"
"1DZ6","B","CYTOCHROME P450-CAM","Pseudomonas putida","","",""
"1DZ8","A","CYTOCHROME P450-CAM","Pseudomonas putida","PF00067 [283-376]","p450","Cytochrome P450"
"1DZ8","B","CYTOCHROME P450-CAM","Pseudomonas putida","","",""
"1DZ9","A","CYTOCHROME P450-CAM","Pseudomonas putida","PF00067 [283-376]","p450","Cytochrome P450"
"1DZ9","B","CYTOCHROME P450-CAM","Pseudomonas putida","","",""
"1DZM","A","ODORANT-BINDING PROTEIN","Sus scrofa","PF00061 [13-153]","Lipocalin","Lipocalin / cytosolic fatty-acid binding protein family"
"1DZM","B","ODORANT-BINDING PROTEIN","Sus scrofa","","",""
"1E06","A","ODORANT-BINDING PROTEIN","Sus scrofa","PF00061 [13-153]","Lipocalin","Lipocalin / cytosolic fatty-acid binding protein family"
"1E06","B","ODORANT-BINDING PROTEIN","Sus scrofa","","",""
"1E3V","A","STEROID DELTA-ISOMERASE","Pseudomonas putida","PF12680 [14-114]","SnoaL_2","SnoaL-like domain"
"1E3V","B","STEROID DELTA-ISOMERASE","Pseudomonas putida","","",""
"1E6W","A","SHORT CHAIN 3-HYDROXYACYL-COA DEHYDROGENASE","Rattus norvegicus","PF00106 [12-207]","adh_short","short chain dehydrogenase"
"1E6W","B","SHORT CHAIN 3-HYDROXYACYL-COA DEHYDROGENASE","Rattus norvegicus","","",""
"1E6W","C","SHORT CHAIN 3-HYDROXYACYL-COA DEHYDROGENASE","Rattus norvegicus","","",""
"1E6W","D","SHORT CHAIN 3-HYDROXYACYL-COA DEHYDROGENASE","Rattus norvegicus","","",""
"1E71","M","MYROSINASE MA1","Sinapis alba","PF00232 [23-500]","Glyco_hydro_1","Glycosyl hydrolase family 1"
"1E72","M","MYROSINASE MA1","Sinapis alba","PF00232 [23-500]","Glyco_hydro_1","Glycosyl hydrolase family 1"
"1E73","M","MYROSINASE MA1","Sinapis alba","PF00232 [23-500]","Glyco_hydro_1","Glycosyl hydrolase family 1"
"1E7B","A","SERUM ALBUMIN","Homo sapiens","PF00273 [7-178], PF00273 [390-568], PF00273 [199-370]","Serum_albumin, Serum_albumin, Serum_albumin","Serum albumin family, Serum albumin family, Serum albumin family"
"1E7B","B","SERUM ALBUMIN","Homo sapiens","","",""
